6 7
1 2 3
2 3 4
3 4 5
4 5 6
5 6 7
1 6 100
2 5 1
6 9
1 2 2
2 3 2
3 4 2
4 5 2
5 6 2
1 6 50
2 5 50
3 6 1
1 4 100
7 10
1 2 4
2 3 6
3 4 5
4 5 9
5 6 2
6 7 1
1 7 20
2 6 3
3 5 7
1 4 8
8 17
1 5 20
8 1 99
5 4 94
7 3 12
1 3 66
2 4 78
5 8 23
7 5 39
2 7 46
4 8 10
7 8 32
3 4 61
2 8 46
6 3 35
2 5 47
1 4 21
5 3 65
4 4
1 2 0
2 3 0
2 4 0
1 4 1
4 3
1 2 0
2 3 0
2 4 0
4 3
1 2 1
2 3 1
2 4 1
4 6
4 1 1
4 2 2
4 3 2
3 2 2
3 1 1
1 2 1
4 2
1 2 1
3 4 1
4 4
1 2 1
2 3 2
2 4 3
3 4 4
8 20
1 5 20
8 1 99
5 4 94
7 3 12
1 3 66
2 4 78
5 8 23
3 7 15
7 5 39
2 7 46
4 2 82
4 8 10
7 8 32
3 4 61
2 8 46
6 3 35
5 5 13
2 5 47
1 4 21
5 3 65
34 78
2 1 3
3 1 4
4 1 7
5 1 5
6 1 1
7 1 1
8 1 2
9 1 8
11 1 9
12 1 9
13 1 7
14 1 10
18 1 5
20 1 1
22 1 2
32 1 3
3 2 4
4 2 8
8 2 5
14 2 9
18 2 15
20 2 3
22 2 11
31 2 1
4 3 0
8 3 0
9 3 1
10 3 0
14 3 5
28 3 7
29 3 9
33 3 5
8 4 6
13 4 0
14 4 7
7 5 5
11 5 4
7 6 1
11 6 3
17 6 0
17 7 1
31 9 15
33 9 5
34 9 1
34 10 7
34 14 8
33 15 8
34 15 9
33 16 7
34 16 4
33 19 5
34 19 2
34 20 3
33 21 1
34 21 5
33 23 5
34 23 8
26 24 7
28 24 11
30 24 21
33 24 12
34 24 14
26 25 8
28 25 9
32 25 77
32 26 4
30 27 1
34 27 0
34 28 0
32 29 5
34 29 6
33 30 0
34 30 8
33 31 0
34 31 1
33 32 8
34 32 6
34 33 5
34 61
2 1 3
3 1 4
4 1 7
5 1 5
6 1 1
7 1 1
8 1 2
9 1 8
11 1 9
12 1 9
13 1 7
14 1 10
18 1 5
20 1 1
22 1 2
32 1 3
3 2 4
4 2 8
8 2 5
14 2 9
18 2 15
20 2 3
22 2 11
31 2 1
4 3 0
8 3 0
9 3 1
10 3 0
14 3 5
28 3 7
29 3 9
33 3 5
8 4 6
13 4 0
14 4 7
7 5 5
11 5 4
7 6 1
11 6 3
17 6 0
17 7 1
31 9 15
33 9 5
33 15 8
33 16 7
33 19 5
33 21 1
33 23 5
26 24 7
28 24 11
30 24 21
33 24 12
26 25 8
28 25 9
32 25 77
32 26 4
30 27 1
32 29 5
33 30 0
33 31 0
33 32 8
0
